"order","code_ref.tr","old_ref.tr","code_tree_names","tree_names","fin_ref.tr"
"1","P619","Andinia_spiralis_P619","P998","Andinia_barbata_P998","Andinia_spiralis_P619"
"2","P109","Andinia_longiserpens_P109","P999","Andinia_uchucayensis_P999","Andinia_longiserpens_P109"
"3","P701","Andinia_persimilis_P701","P109","Andinia_longiserpens_P109","Andinia_persimilis_P701"
"4","P703","Andinia_erepsis_P703","P619","Andinia_spiralis_P619","Andinia_erepsis_P703"
"5","P813","Andinia_geminipetala_P813","P756","Andinia_lappacea_P756","Andinia_geminipetala_P813"
"6","P709","Andinia_nummularia_P709","P627","Andinia_spnov_P627","Andinia_stalactites_P709"
"7","P091","Andinia_nummularia_P091","P708","Andinia_pensilis_P708","Andinia_nummularia_P091"
"8","P706","Andinia_stalactites_P706","P709","Andinia_stalactites_P709","Andinia_stalactites_P706"
"9","P1172","Andinia_cf._stalactites_P1172","P091","Andinia_nummularia_P091","Andinia_stalactites_P1172"
"10","P756","Andinia_lappacea_P756","P1172","Andinia_stalactites_P1172","Andinia_lappacea_P756"
"11","P627","Andinia_dielsii_P627","P706","Andinia_stalactites_P706","Andinia_spnov_P627"
"12","P708","Andinia_pensilis_P708","P703","Andinia_erepsis_P703","Andinia_pensilis_P708"
"13","P686","Andinia_schizopogon_P686","P701","Andinia_persimilis_P701","Andinia_schizopogon_P686"
"14","P622","Andinia_pogonion_P622","P813","Andinia_geminipetala_P813","Andinia_schizopogon_P622"
"15","P593","Andinia_hirtzii_P593","P050","Scaphosepalum_beluosum_P050","Andinia_hirtzii_P593"
"16","P688","Andinia_dalstroemii_P688","P119","Scaphosepalum_bicristatum_P119","Andinia_dalstroemii_P688"
"17","P999","Andinia_uchucayensis_P999","P121","Scaphosepalum_pulvinare_P121","Andinia_uchucayensis_P999"
"18","P998","Andinia_barbata_P998","P118","Scaphosepalum_antenniferum_P118","Andinia_barbata_P998"
"19","P288","Muscarella_schudelii_P288","P012","Scaphosepalum_antennatum_P012","Muscarella_schudelii_P288"
"20","P746","Muscarella_marginata_P746","P258","Scaphosepalum_odontochilum_P258","Muscarella_marginata_P746"
"21","P032","Muscarella_megalops_P032","P120","Scaphosepalum_macrodactylum_P120","Muscarella_megalops_P032"
"22","P249","Muscarella_macroblepharis_P249","P1156","Specklinia_lanceola_P1156","Muscarella_macroblepharis_P249"
"23","P1138","Andreettaea_ocellus_P1138","P221","Specklinia_montezumae_P221","Andreettaea_ocellus_P1138"
"24","P1007","Andreettaea_ocellus_P1007","P466","Specklinia_fulgens_P466","Andreettaea_ocellus_P1007"
"25","P1119","Muscarella_bota-caucanensis_P1119","P229","Specklinia_endotrachys_P229","Muscarella_botacaucanensis_P1119"
"26","P1137","Muscarella_furcatipetala_P1137","P1274","Specklinia_barbae_P1274","Muscarella_furcatipetala_P1137"
"27","P580","Muscarella_samacensis_P580","P1158","Specklinia_guanacastensis_P1158","Muscarella_samacensis_P580"
"28","P079","Dryadella_cristata_P079","P388","Specklinia_vittariifolia_P388","Dryadella_cristata_P079"
"29","P527","Dryadella_aviceps_P527","P1141","Specklinia_cucumeris_P1141","Dryadella_aviceps_P527"
"30","P838","Dryadella_liliputiana_P838","P810","Specklinia_colombiana_P810","Dryadella_liliputiana_P838"
"31","P882","Dryadella_yupanki_P882","P394","Specklinia_tribuloides_P394","Dryadella_yupanki_P882"
"32","P811","Dryadella_aurea_P811","P759","Specklinia_dressleri_P759","Dryadella_aurea_P811"
"33","P142","Dryadella_guatemalensis_P142","P595","Platystele_hirtzii_P595","Dryadella_linearifolia_P142"
"34","P074","Dryadella_simula_P074","P270","Platystele_examenculicum_P270","Dryadella_simula_P074"
"35","P353","Dryadella_hirtzii_P353","P147","Platystele_schmidtchenii_P147","Dryadella_hirtzii_P353"
"36","P1016","Dryadella_pusiola_P1016","P173","Platystele_misasiana_P173","Dryadella_pusiola_P1016"
"37","P021","Dryadella_barrowii_P021","P835","Platystele_aurea_P835","Dryadella_barrowii_P021"
"38","P504","Dryadella_albicans_P504","P1235","Platystele_cedriensis_P1235","Dryadella_albicans_P504"
"39","P759","Specklinia_dressleri_P759","P104","Platystele_gyroglossa_P104","Specklinia_dressleri_P759"
"40","P810","Specklinia_colombiana_P810","P224","Platystele_stenostachya_P224","Specklinia_colombiana_P810"
"41","P1197","Specklinia_morganii_P1197","P971","Platystele_compacta_P971","Specklinia_morganii_P1197"
"42","P761","Specklinia_microphylla_P761","P962","Platystele_baqueroi_P962","Specklinia_microphylla_P761"
"43","P010","Specklinia_grobyi_P010","P503","Platystele_ortiziana_P503","Specklinia_grobyi_P010"
"44","P123","Specklinia_picta_P123","P301","Platystele_umbellata_P301","Specklinia_picta_P123"
"45","P228","Specklinia_costaricensis_P228","P038","Platystele_misera_P038","Specklinia_costaricensis_P228"
"46","P1075","Specklinia_pectinifera_P1075","P1279","Teagueia_rex_P1279","Specklinia_pectinifera_P1075"
"47","P283","Specklinia_producta_P283","P552","Teagueia_moisesii_P552","Specklinia_producta_P283"
"48","P1141","Specklinia_cucumeris_P1141","P634","Teagueia_teaguei_P634","Specklinia_cucumeris_P1141"
"49","P394","Specklinia_tribuloides_P394","P033","Specklinia_sp_P033","Specklinia_tribuloides_P394"
"50","P1274","Specklinia_barbae_P1274","P526","Specklinia_scolopax_P526","Specklinia_barbae_P1274"
"51","P1158","Specklinia_guanacastensis_P1158","P227","Specklinia_brighamii_P227","Specklinia_guanacastensis_P1158"
"52","P388","Specklinia_vittariifolia_P388","P948","Specklinia_vierlingii_P948","Specklinia_vittariifolia_P388"
"53","P1156","Specklinia_lanceola_P1156","P1203","Specklinia_icterina_P1203","Specklinia_lanceola_P1156"
"54","P466","Specklinia_fulgens_P466","P1257","Specklinia_areldii_P1257","Specklinia_fulgens_P466"
"55","P229","Specklinia_remotiflora_P229","P1086","Specklinia_acrisepala_P1086","Specklinia_endotrachys_P229"
"56","P221","Specklinia_montezumae_P221","P056","Scaphosepalum_sp_P056","Specklinia_montezumae_P221"
"57","P1086","Specklinia_acrisepala_P1086","P1241","Scaphosepalum_ovulare_P1241","Specklinia_acrisepala_P1086"
"58","P1257","Specklinia_areldii_P1257","P1197","Specklinia_morganii_P1197","Specklinia_areldii_P1257"
"59","P526","Specklinia_scolopax_P526","P228","Specklinia_costaricensis_P228","Specklinia_scolopax_P526"
"60","P033","Specklinia_simmleriana_P033","P1075","Specklinia_pectinifera_P1075","Specklinia_sp_P033"
"61","P227","Specklinia_brighamii_P227","P283","Specklinia_producta_P283","Specklinia_brighamii_P227"
"62","P1203","Specklinia_icterina_P1203","P123","Specklinia_picta_P123","Specklinia_icterina_P1203"
"63","P948","Specklinia_vierlingii_P948","P761","Specklinia_microphylla_P761","Specklinia_vierlingii_P948"
"64","P297","Specklinia_rinkei_P297","P010","Specklinia_grobyi_P010","Specklinia_acanthodes_P297"
"65","P1241","Scaphosepalum_ovulare_P1241","P297","Specklinia_acanthodes_P297","Scaphosepalum_ovulare_P1241"
"66","P119","Scaphosepalum_bicristatum_P119","P046","Scaphosepalum_microdactylum_P046","Scaphosepalum_bicristatum_P119"
"67","P056","Scaphosepalum_sp._P056","P024","Scaphosepalum_bicolor_P024","Scaphosepalum_sp_P056"
"68","P012","Scaphosepalum_antenniferum_P012","P254","Scaphosepalum_ursinum_P254","Scaphosepalum_antennatum_P012"
"69","P118","Scaphosepalum_antenniferum_P118","P025","Scaphosepalum_digitale_P025","Scaphosepalum_antenniferum_P118"
"70","P121","Scaphosepalum_pulvinare_P121","P079","Dryadella_cristata_P079","Scaphosepalum_pulvinare_P121"
"71","P050","Scaphosepalum_beluosum_P050","P882","Dryadella_yupanki_P882","Scaphosepalum_beluosum_P050"
"72","P025","Scaphosepalum_digitale_P025","P811","Dryadella_aurea_P811","Scaphosepalum_digitale_P025"
"73","P120","Scaphosepalum_ophidion_P120","P142","Dryadella_linearifolia_P142","Scaphosepalum_macrodactylum_P120"
"74","P258","Scaphosepalum_odontochilum_P258","P527","Dryadella_aviceps_P527","Scaphosepalum_odontochilum_P258"
"75","P046","Scaphosepalum_microdactylum_P046","P838","Dryadella_liliputiana_P838","Scaphosepalum_microdactylum_P046"
"76","P024","Scaphosepalum_swertiifolium_P024","P074","Dryadella_simula_P074","Scaphosepalum_bicolor_P024"
"77","P254","Scaphosepalum_dalstroemii_P254","P353","Dryadella_hirtzii_P353","Scaphosepalum_ursinum_P254"
"78","P835","Platystele_aurea_P835","P1016","Dryadella_pusiola_P1016","Platystele_aurea_P835"
"79","P634","Teagueia_teaguei_P634","P504","Dryadella_albicans_P504","Teagueia_teaguei_P634"
"80","P1279","Teagueia_rex_P1279","P021","Dryadella_barrowii_P021","Teagueia_rex_P1279"
"81","P552","Teagueia_moisesii_P552","P288","Muscarella_schudelii_P288","Teagueia_moisesii_P552"
"82","P038","Platystele_misera_P038","P746","Muscarella_marginata_P746","Platystele_misera_P038"
"83","P147","Platystele_cf._consobrina_P147","P032","Muscarella_megalops_P032","Platystele_schmidtchenii_P147"
"84","P173","Platystele_misasiana_P173","P249","Muscarella_macroblepharis_P249","Platystele_misasiana_P173"
"85","P1235","Platystele_cedriensis_P1235","P1007","Andreettaea_ocellus_P1007","Platystele_cedriensis_P1235"
"86","P104","Platystele_apoloae_P104","P1138","Andreettaea_ocellus_P1138","Platystele_gyroglossa_P104"
"87","P301","Platystele_umbellata_P301","P1119","Muscarella_botacaucanensis_P1119","Platystele_umbellata_P301"
"88","P503","Platystele_ortiziana_P503","P1137","Muscarella_furcatipetala_P1137","Platystele_ortiziana_P503"
"89","P224","Platystele_stenostachya_P224","P580","Muscarella_samacensis_P580","Platystele_stenostachya_P224"
"90","P962","Platystele_baqueroi_P962","P686","Andinia_schizopogon_P686","Platystele_baqueroi_P962"
"91","P971","Platystele_compacta_P971","P593","Andinia_hirtzii_P593","Platystele_compacta_P971"
"92","P595","Platystele_hirtzii_P595","P688","Andinia_dalstroemii_P688","Platystele_hirtzii_P595"
"93","P270","Platystele_examen-culicum_P270","P622","Andinia_schizopogon_P622","Platystele_examenculicum_P270"
